hierarchy_level,hierarchy_level_name,lang_code,is_active,cr_by,cr_dtimes
0,بلد,ara,true,superadmin,now()
0,Country,eng,true,superadmin,now()
0,Pays,fra,true,superadmin,now()
1,منطقة,ara,true,superadmin,now()
1,Region,eng,true,superadmin,now()
1,Région,fra,true,superadmin,now()
2,المحافظة,ara,true,superadmin,now()
2,Province,eng,true,superadmin,now()
2,Province,fra,true,superadmin,now()
3,مدينة,ara,true,superadmin,now()
3,City,eng,true,superadmin,now()
3,Ville,fra,true,superadmin,now()
4,منطقة,ara,true,superadmin,now()
4,Zone,eng,true,superadmin,now()
4,Zone,fra,true,superadmin,now()
5,الرمز البريدي,ara,true,superadmin,now()
5,Postal Code,eng,true,superadmin,now()
5,code postal,fra,true,superadmin,now()
66,جماعة,ara,true,superadmin,now()
66,commun,eng,true,superadmin,now()
66,commun,fra,true,superadmin,now()

