zone_code,usr_id,lang_code,is_active,cr_by,cr_dtimes
NTH,110001,eng,true,superadmin,now()
NTH,110031,eng,true,superadmin,now()
NTH,110032,eng,true,superadmin,now()
CST,110033,eng,true,superadmin,now()
CST,110034,eng,true,superadmin,now()
CST,110035,eng,true,superadmin,now()
ORT,110036,eng,true,superadmin,now()
ORT,110037,eng,true,superadmin,now()
ORT,110038,eng,true,superadmin,now()
ORT,110039,eng,true,superadmin,now()
ORT,110040,eng,true,superadmin,now()
ORT,110041,eng,true,superadmin,now()
ORT,110042,eng,true,superadmin,now()
ORT,110043,eng,true,superadmin,now()
ORT,110044,eng,true,superadmin,now()
ORT,110045,eng,true,superadmin,now()
ORT,110046,eng,true,superadmin,now()
ORT,110047,eng,true,superadmin,now()
ORT,110048,eng,true,superadmin,now()
ORT,110049,eng,true,superadmin,now()
ORT,110050,eng,true,superadmin,now()
ORT,110051,eng,true,superadmin,now()
ORT,110052,eng,true,superadmin,now()
ORT,110053,eng,true,superadmin,now()
ORT,110054,eng,true,superadmin,now()
ORT,110055,eng,true,superadmin,now()
ORT,110056,eng,true,superadmin,now()
ORT,110057,eng,true,superadmin,now()
NTH,110058,eng,true,superadmin,now()
NTH,110059,eng,true,superadmin,now()
NTH,110060,eng,true,superadmin,now()
NTH,110061,eng,true,superadmin,now()
STH,110062,eng,true,superadmin,now()
STH,110063,eng,true,superadmin,now()
STH,110064,eng,true,superadmin,now()
STH,110065,eng,true,superadmin,now()
STH,110066,eng,true,superadmin,now()
STH,110067,eng,true,superadmin,now()
STH,110068,eng,true,superadmin,now()
STH,110069,eng,true,superadmin,now()
STH,110070,eng,true,superadmin,now()
STH,110071,eng,true,superadmin,now()
STH,110072,eng,true,superadmin,now()
STH,110073,eng,true,superadmin,now()
STH,110074,eng,true,superadmin,now()
NTH,110075,eng,true,superadmin,now()
NTH,110076,eng,true,superadmin,now()
NTH,110077,eng,true,superadmin,now()
NTH,110078,eng,true,superadmin,now()
NTH,110079,eng,true,superadmin,now()
NTH,110080,eng,true,superadmin,now()
NTH,110081,eng,true,superadmin,now()
NTH,110082,eng,true,superadmin,now()
NTH,110083,eng,true,superadmin,now()
NTH,110084,eng,true,superadmin,now()
NTH,110085,eng,true,superadmin,now()
NTH,110086,eng,true,superadmin,now()
NTH,110087,eng,true,superadmin,now()
MOR,superadmin,eng,true,superadmin,now()
NTH,110002,eng,true,superadmin,now()
NTH,110003,eng,true,superadmin,now()
RSK,110004,eng,true,superadmin,now()
ORT,110006,eng,true,superadmin,now()
NTH,110007,eng,true,superadmin,now()
STH,110008,eng,true,superadmin,now()
STH,110009,eng,true,superadmin,now()
STH,110010,eng,true,superadmin,now()
NTH,110021,eng,true,superadmin,now()
NTH,110022,eng,true,superadmin,now()
RSK,110023,eng,true,superadmin,now()
NTH,110024,eng,true,superadmin,now()
ORT,110025,eng,true,superadmin,now()
NTH,110026,eng,true,superadmin,now()
STH,110027,eng,true,superadmin,now()
STH,110028,eng,true,superadmin,now()
STH,110029,eng,true,superadmin,now()
NTH,110030,eng,true,superadmin,now()
RBT,110012,eng,true,superadmin,now()
RBT,110013,eng,true,superadmin,now()
RBT,110014,eng,true,superadmin,now()
RBT,110015,eng,true,superadmin,now()
RBT,110016,eng,true,superadmin,now()
RBT,110017,eng,true,superadmin,now()
RBT,110018,eng,true,superadmin,now()
NTH,110088,eng,true,superadmin,now()
NTH,110089,eng,true,superadmin,now()
STH,110090,eng,true,superadmin,now()
STH,110091,eng,true,superadmin,now()
STH,110092,eng,true,superadmin,now()
STH,110093,eng,true,superadmin,now()
STH,110094,eng,true,superadmin,now()
STH,110095,eng,true,superadmin,now()
STH,110096,eng,true,superadmin,now()
STH,110097,eng,true,superadmin,now()
STH,110098,eng,true,superadmin,now()
STH,110099,eng,true,superadmin,now()
STH,110100,eng,true,superadmin,now()
STH,110101,eng,true,superadmin,now()
NTH,110102,eng,true,superadmin,now()
NTH,110103,eng,true,superadmin,now()
NTH,110104,eng,true,superadmin,now()
NTH,110105,eng,true,superadmin,now()
NTH,110106,eng,true,superadmin,now()
NTH,110107,eng,true,superadmin,now()
RBT,110005,eng,true,superadmin,now()
KTA,110020,eng,true,superadmin,now()
NTH,110108,eng,true,superadmin,now()
NTH,110109,eng,true,superadmin,now()
NTH,110110,eng,true,superadmin,now()
NTH,110111,eng,true,superadmin,now()
NTH,110112,eng,true,superadmin,now()
NTH,110113,eng,true,superadmin,now()
NTH,110114,eng,true,superadmin,now()
NTH,110115,eng,true,superadmin,now()
NTH,110116,eng,true,superadmin,now()
NTH,110117,eng,true,superadmin,now()
NTH,110118,eng,true,superadmin,now()
NTH,110119,eng,true,superadmin,now()
NTH,110120,eng,true,superadmin,now()
NTH,110121,eng,true,superadmin,now()
NTH,110122,eng,true,superadmin,now()
NTH,110123,eng,true,superadmin,now()
NTH,110124,eng,true,superadmin,now()
NTH,110125,eng,true,superadmin,now()
NTH,110126,eng,true,superadmin,now()
NTH,110127,eng,true,superadmin,now()
NTH,110128,eng,true,superadmin,now()
NTH,110129,eng,true,superadmin,now()
NTH,110130,eng,true,superadmin,now()
NTH,110131,eng,true,superadmin,now()
RBT,110011,eng,true,superadmin,now()
RBT,110019,eng,true,superadmin,now()
